il,ilce,mahalle,lat,lon
ADANA,KOZAN,ÖRENDERE,37.553192,35.7747147
ADANA,KOZAN,ÖZBAŞI,37.5716627,35.7836096
ADANA,KOZAN,ŞERİFLİ,37.688397,35.9279357
ADANA,KOZAN,ŞEVKİYE,37.4491619,35.8055469
ADANA,POZANTI,AKÇATEKİR,37.3378212,34.8017513
ADANA,POZANTI,ALPU,37.4709589,34.8819627
ADANA,POZANTI,AŞÇIBEKİRLİ,37.6267919,34.972109
ADANA,POZANTI,BELEMEDİK,37.3536895,34.9093937
ADANA,POZANTI,CUMHURİYET,37.4233076,34.8718896
ADANA,POZANTI,DAĞDİBİ,37.642487,35.0028257
ADANA,POZANTI,ESKİKONACIK,37.3894932,34.8602478
ADANA,POZANTI,FINDIKLI,37.502002,34.9246556
ADANA,POZANTI,GÖKBEZ,37.4398741,34.8799267
ADANA,POZANTI,HAMİDİYE,37.5604838,34.970769
ADANA,POZANTI,KAMIŞLI,37.553871,34.9502304
ADANA,POZANTI,KARAKIŞLAKÇI,37.665021,34.9000328
ADANA,POZANTI,KURTULUŞ,37.4256429,34.8735232
ADANA,POZANTI,YAZICAK,37.5831775,34.9441322
ADANA,POZANTI,YAĞLITAŞ,37.616146,34.9216377
ADANA,POZANTI,YENİKONACIK,37.4225653,34.8452639
ADANA,POZANTI,YUKARIBELEMEDİK,37.6271522,34.9281159
ADANA,POZANTI,ZAFER,37.4277436,34.8720722
ADANA,POZANTI,ÇAMLIBEL,37.4760602,35.0675724
ADANA,POZANTI,ÖMERLİ,37.52997,34.8562425
ADANA,POZANTI,İSTİKLAL,37.4214658,34.8718028
ADANA,SARIÇAM,ACIDERE,36.9773106,35.5734772
ADANA,SARIÇAM,ACIDEREOSB,36.969541099999994,35.5961751
ADANA,SARIÇAM,AFLAK,37.1768223,35.3002214
ADANA,SARIÇAM,AKKUYU,37.0922316,35.4157346
ADANA,SARIÇAM,AVCILAR,37.122887,35.6104157
ADANA,SARIÇAM,AYDINYURDU,37.115551,35.5492467
ADANA,SARIÇAM,AYVALI,37.152035,35.286648
ADANA,SARIÇAM,BALCALI,37.0544136,35.3648913
ADANA,SARIÇAM,BAYRAM HACILI,37.08616140000001,35.323024
ADANA,SARIÇAM,BEYCELİ,37.0497995,35.4241271
ADANA,SARIÇAM,BOYNUYOĞUN,37.0591562,35.4212106
ADANA,SARIÇAM,BOZTEPE,37.2189216,35.4892149
ADANA,SARIÇAM,BURUK CUMHURİYET,37.0381814,35.451125
ADANA,SARIÇAM,BÜYÜK BAKLALI,37.0358416,35.6324796
ADANA,SARIÇAM,CERENLİ,37.222492,35.5304867
ADANA,SARIÇAM,CİHADİYE,37.050737,35.5616129
ADANA,SARIÇAM,DAĞCI,36.9836301,35.5175035
ADANA,SARIÇAM,DUTLUCA,37.1507586,35.4382113
ADANA,SARIÇAM,EĞECİUŞAĞI,37.209508,35.4068775
ADANA,SARIÇAM,GÖKBUKET,37.149094,35.5582457
ADANA,SARIÇAM,GÖZTEPE,37.0123513,35.4989883
ADANA,SARIÇAM,HAKKIBEYLİ,37.1686754,35.5705796
ADANA,SARIÇAM,HASANBEYLİ,37.04961,35.5369027
ADANA,SARIÇAM,HOCALLI,37.1535148,35.4107939
ADANA,SARIÇAM,KARAYUSUFLU,37.200787,35.3135517
ADANA,SARIÇAM,KARAÖMERLİ,37.1187766,35.343394
